Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
223971,Evaluating Software Architectures: Methods and Case Studies,Paul Clements,"Clements, Paul",Rick Kazman,"=""020170482X""","=""9780201704822""",0,3.77,Addison-Wesley Professional,Hardcover,368,2001,2001,,2022/07/27,to-read,to-read (#569),to-read,,,,0,,,0,,,,,
44144493,Fundamentals of Software Architecture: An Engineering Approach,Mark   Richards,"Richards, Mark",Neal Ford,"=""1492043451""","=""9781492043454""",0,4.31,O'Reilly Media,Paperback,432,2020,2020,,2022/07/27,to-read,to-read (#568),to-read,,,,0,,,0,,,,,
56296296,Intelligent Multi-Modal Data Processing,Soham Sarkar,"Sarkar, Soham","Abhishek Basu, Siddhartha Bhattacharyya","=""1119571383""","=""9781119571384""",0,0.0,Wiley,Hardcover,288,2021,,,2022/07/21,to-read,to-read (#567),to-read,,,,0,,,0,,,,,
60631342,System Design Interview – An Insider's Guide: Volume 2,Alex Xu,"Xu, Alex",Sahn Lam,"=""1736049119""","=""9781736049112""",0,4.42,,Paperback,424,2022,,,2022/07/19,to-read,to-read (#566),to-read,,,,0,,,0,,,,,
54109255,System Design Interview – An Insider's Guide,Alex Xu,"Xu, Alex",,"=""""","=""""",0,4.28,,Kindle Edition,324,2020,2020,,2022/07/19,to-read,to-read (#565),to-read,,,,0,,,0,,,,,
18077875,Essentialism: The Disciplined Pursuit of Less,Greg McKeown,"McKeown, Greg",,"=""0804137382""","=""9780804137386""",0,4.04,Crown Business,Hardcover,260,2014,2011,,2022/07/19,to-read,to-read (#564),to-read,,,,0,,,0,,,,,
551520,The Wisdom of Insecurity: A Message for an Age of Anxiety,Alan W. Watts,"Watts, Alan W.",,"=""0394704681""","=""9780394704685""",0,4.15,Vintage,Paperback,152,1968,1951,,2022/07/07,to-read,to-read (#563),to-read,,,,0,,,0,,,,,
238811,"Ask Questions, Get Sales: Close the Deal and Create Long-Term Relationships",Stephan Schiffman,"Schiffman, Stephan",,"=""1593371128""","=""0045079701120""",0,4.04,Adams Media Corporation,Paperback,176,2004,2004,,2022/07/05,to-read,to-read (#562),to-read,,,,0,,,0,,,,,
41881472,The Psychology of Money,Morgan Housel,"Housel, Morgan",,"=""""","=""""",0,4.39,Harriman House,Paperback,252,2020,2020,,2022/07/04,to-read,to-read (#561),to-read,,,,0,,,0,,,,,
253203,How to Become a Straight-A Student,Cal Newport,"Newport, Cal",,"=""0767922719""","=""9780767922715""",0,4.04,Three Rivers Press,Paperback,217,2006,2006,,2022/07/04,to-read,to-read (#560),to-read,,,,0,,,0,,,,,
26114603,"Work Clean: The life-changing power of mise-en-place to organize your life, work, and mind",Dan Charnas,"Charnas, Dan",,"=""1623365929""","=""9781623365929""",0,4.08,Rodale Books,Hardcover,304,2016,2016,,2022/07/04,to-read,to-read (#559),to-read,,,,0,,,0,,,,,
134454,The Reflective Practitioner: How Professionals Think in Action,Donald A. Schön,"Schön, Donald A.",,"=""1857423194""","=""9781857423198""",0,3.97,Routledge,Paperback,384,1994,1983,,2022/06/29,to-read,to-read (#558),to-read,,,,0,,,0,,,,,
1774897,On Organizational Learning,Chris Argyris,"Argyris, Chris",,"=""0631213090""","=""9780631213093""",0,4.35,Wiley-Blackwell,Paperback,480,1999,1993,,2022/06/29,to-read,to-read (#557),to-read,,,,0,,,0,,,,,
1286352,The Living Company,Arie De Geus,"Geus, Arie De",,"=""1578518202""","=""9781578518203""",0,4.15,Harvard Business Review Press,Paperback,240,2002,1997,,2022/06/29,to-read,to-read (#556),to-read,,,,0,,,0,,,,,
255127,The Fifth Discipline: The Art & Practice of The Learning Organization,Peter M. Senge,"Senge, Peter M.",,"=""0385517254""","=""9780385517256""",0,3.92,Crown Business,Paperback,464,2006,1990,,2022/06/29,to-read,to-read (#555),to-read,,,,0,,,0,,,,,
15843125,"Free to Learn: Why Unleashing the Instinct to Play Will Make Our Children Happier, More Self-Reliant, and Better Students for Life",Peter O. Gray,"Gray, Peter O.",,"=""0465025994""","=""9780465025992""",0,4.27,Basic Books,Hardcover,288,2013,2013,,2022/06/29,to-read,to-read (#554),to-read,,,,0,,,0,,,,,
59935249,Road to Nowhere: What Silicon Valley Gets Wrong about the Future of Transportation,Paris Marx,"Marx, Paris",,"=""""","=""""",0,4.21,Verso,Kindle Edition,302,2022,,,2022/06/18,to-read,to-read (#549),to-read,,,,0,,,0,,,,,
43722869,The Eden Paradox,Barry Kirwan,"Kirwan, Barry",,"=""""","=""""",0,4.26,,Kindle Edition,392,2019,2011,,2022/06/18,to-read,to-read (#553),to-read,,,,0,,,0,,,,,
801339,Effective Study,Francis Pleasant Robinson,"Robinson, Francis Pleasant",,"=""0060455217""","=""9780060455217""",0,3.73,HarperCollins Publishers,Paperback,316,1970,1970,,2022/06/18,to-read,to-read (#552),to-read,,,,0,,,0,,,,,
2458000,How to Study in College,Walter Pauk,"Pauk, Walter",,"=""0618766456""","=""9780618766451""",0,3.89,Houghton Mifflin,Paperback,392,2007,1974,,2022/06/18,to-read,to-read (#551),to-read,,,,0,,,0,,,,,
59448800,The Power Law: Venture Capital and the Making of the New Future,Sebastian Mallaby,"Mallaby, Sebastian",,"=""""","=""""",0,4.46,,Kindle Edition,,2022,,,2022/06/18,to-read,to-read (#550),to-read,,,,0,,,0,,,,,
57813553,"Spies, Lies, and Algorithms: The History and Future of American Intelligence",Amy B. Zegart,"Zegart, Amy B.",,"=""0691147132""","=""9780691147130""",0,3.95,Princeton University Press ,Hardcover,360,2022,2022,,2022/06/18,to-read,to-read (#548),to-read,,,,0,,,0,,,,,
59696349,Build: An Unorthodox Guide to Making Things Worth Making,Tony Fadell,"Fadell, Tony",,"=""1787634116""","=""9781787634114""",0,4.40,Bantam Press,Paperback,416,2022,,,2022/06/18,to-read,to-read (#547),to-read,,,,0,,,0,,,,,
17885490,"Theory of Society, Volume 2",Niklas Luhmann,"Luhmann, Niklas",Rhodes Barrett,"=""080477160X""","=""9780804771603""",0,4.43,Stanford University Press,Paperback,472,2013,2013,,2022/06/16,to-read,to-read (#546),to-read,,,,0,,,0,,,,,
15807168,"Theory of Society, Volume 1",Niklas Luhmann,"Luhmann, Niklas",Rhodes Barrett,"=""0804739498""","=""9780804739498""",0,4.22,Stanford University Press,Hardcover,488,2012,2009,,2022/06/16,to-read,to-read (#545),to-read,,,,0,,,0,,,,,
13762930,Introduction to Systems Theory,Niklas Luhmann,"Luhmann, Niklas",,"=""0745645712""","=""9780745645711""",0,4.19,Polity Press,Hardcover,300,2012,2005,,2022/06/16,to-read,to-read (#544),to-read,,,,0,,,0,,,,,
992345,Art as a Social System,Niklas Luhmann,"Luhmann, Niklas",Eva Knodt,"=""0804739072""","=""9780804739078""",0,4.07,Stanford University Press,Paperback,424,2000,1995,,2022/06/16,to-read,to-read (#543),to-read,,,,0,,,0,,,,,
337482,Social Systems,Niklas Luhmann,"Luhmann, Niklas","John Bednarz, Dirk Baecker","=""0804726256""","=""9780804726252""",0,4.10,Stanford University Press,Paperback,684,1996,1995,,2022/06/16,to-read,to-read (#542),to-read,,,,0,,,0,,,,,
722412,The Dream Machine: J.C.R. Licklider and the Revolution That Made Computing Personal,M. Mitchell Waldrop,"Waldrop, M. Mitchell",,"=""014200135X""","=""9780142001356""",0,4.57,Penguin Books,Paperback,512,2002,2001,,2022/06/16,to-read,to-read (#541),to-read,,,,0,,,0,,,,,
514210,The Way of Zen,Alan W. Watts,"Watts, Alan W.",,"=""0375705104""","=""9780375705106""",0,4.15,Vintage,Paperback,236,1999,1957,,2022/06/16,to-read,to-read (#540),to-read,,,,0,,,0,,,,,
4122,Built to Last: Successful Habits of Visionary Companies,James C. Collins,"Collins, James C.",Jerry I. Porras,"=""0060566108""","=""9780060566104""",0,4.04,Harper Business,Hardcover,368,2004,1994,,2022/06/15,to-read,to-read (#539),to-read,,,,0,,,0,,,,,
27838253,Managing Corporate Lifecycles,Ichak Kalderon Adizes,"Adizes, Ichak Kalderon",,"=""9381860548""","=""""",0,4.31,Embassy Books,Paperback,460,2014,1998,,2022/05/24,to-read,to-read (#538),to-read,,,,0,,,0,,,,,
1633,Getting Things Done: The Art of Stress-Free Productivity,David    Allen,"Allen, David",,"=""0142000280""","=""9780142000281""",0,4.00,Penguin Group,Paperback,267,2002,2001,,2022/05/24,to-read,to-read (#537),to-read,,,,0,,,0,,,,,
30676,The Act of Creation,Arthur Koestler,"Koestler, Arthur",,"=""0140191917""","=""9780140191912""",0,4.26,Arkana/Penguin,Paperback,752,1990,1964,,2022/05/18,to-read,to-read (#536),to-read,,,,0,,,0,,,,,
50611580,Laws of UX: Design Principles for Persuasive and Ethical Products,Jon Yablonski,"Yablonski, Jon",,"=""149205531X""","=""9781492055310""",0,4.39,O'Reilly Media,Paperback,150,2020,,,2022/05/05,to-read,to-read (#535),to-read,,,,0,,,0,,,,,
8296096,Replication: Theory and Practice,Bernadette Charron-Bost,"Charron-Bost, Bernadette","Fernando Pedone, André Schiper","=""3642112935""","=""9783642112935""",0,4.60,Springer,Paperback,290,2010,2010,,2022/04/28,to-read,to-read (#534),to-read,,,,0,,,0,,,,,
432223,This is It & Other Essays on Zen & Spiritual Experience,Alan W. Watts,"Watts, Alan W.",,"=""0394719042""","=""9780394719047""",0,4.28,Vintage,Paperback,158,1973,1960,,2022/04/24,to-read,to-read (#533),to-read,,,,0,,,0,,,,,
34079314,Anatomy for Strength and Fitness Training,Mark Vella,"Vella, Mark",,"=""1504800516""","=""9781504800518""",0,4.00,Fox Chapel,Paperback,144,2015,,,2022/04/10,to-read,to-read (#532),to-read,,,,0,,,0,,,,,
54883111,Functional Training Anatomy,Kevin Carr,"Carr, Kevin",Mary Kate Feit,"=""1492599107""","=""9781492599104""",0,4.45,Human Kinetics Publishers,Paperback,200,2021,,,2022/04/10,to-read,to-read (#531),to-read,,,,0,,,0,,,,,
799401,Pilates' Return to Life Through Contrology,Joseph H. Pilates,"Pilates, Joseph H.",William Miller,"=""0961493798""","=""9780961493790""",0,4.21,Presentation Dynamics,Paperback,93,1998,1945,,2022/04/10,to-read,to-read (#530),to-read,,,,0,,,0,,,,,
10367335,Pilates Anatomy,Rael Isacowitz,"Isacowitz, Rael",Karen Clippinger,"=""0736083863""","=""9780736083867""",0,4.40,Human Kinetics Publishers,Paperback,216,2011,2011,,2022/04/10,to-read,to-read (#529),to-read,,,,0,,,0,,,,,
12634694,Functional Anatomy of the Spine,Jean Oliver,"Oliver, Jean",Alison Middleditch,"=""0750627174""","=""9780750627177""",0,4.00,Butterworth-Heinemann,Paperback,328,2005,1991,,2022/04/10,to-read,to-read (#528),to-read,,,,0,,,0,,,,,
561183,Anatomy Trains: Myofascial Meridians for Manual and Movement Therapists,Thomas W. Myers,"Myers, Thomas W.","Deane Juhan, Leon Chaitow","=""0443063516""","=""9780443063510""",0,4.48,Churchill Livingstone,Paperback,300,2001,2001,,2022/04/10,to-read,to-read (#527),to-read,,,,0,,,0,,,,,
25433930,Jean Marc Bourgery. Atlas of Human Anatomy and Surgery,Jean-Marie Le Minor,"Minor, Jean-Marie Le",Henri Sick,"=""3836556626""","=""9783836556620""",0,4.55,Taschen,Hardcover,832,2015,2015,,2022/04/10,to-read,to-read (#526),to-read,,,,0,,,0,,,,,
10951175,Visual Anatomy & Physiology,Frederic H. Martini,"Martini, Frederic H.","William C. Ober, Judi L. Nath","=""032178667X""","=""9780321786678""",0,4.29,Benjamin-Cummings Publishing Company,Hardcover,979,2011,2010,,2022/04/10,to-read,to-read (#525),to-read,,,,0,,,0,,,,,
21051145,Newcomer's Handbook for Moving to and Living in the USA,Mike Livingston,"Livingston, Mike",,"=""0982347685""","=""9780982347683""",0,3.22,First Books Inc,Paperback,309,2011,2011,,2022/04/10,to-read,to-read (#524),to-read,,,,0,,,0,,,,,
363628,Art of the Rifle,Jeff Cooper,"Cooper, Jeff","Giles Stock, Robert Anderson","=""0873649311""","=""9780873649315""",0,4.31,Paladin Press,Hardcover,97,1997,1997,,2022/03/27,to-read,to-read (#523),to-read,,,,0,,,0,,,,,
23463279,Designing Data-Intensive Applications,Martin Kleppmann,"Kleppmann, Martin",,"=""""","=""""",5,4.72,O'Reilly,ebook,562,,2015,,2020/05/21,,,read,Pure gold.,,,1,,,0,,,,,
19062008,SYSTEMANTICS. THE SYSTEMS BIBLE,John Gall,"Gall, John",D.H. Gall,"=""""","=""""",0,3.98,GENERAL SYSTEMANTICS PRESS,Kindle Edition,316,2012,1977,,2022/03/18,to-read,to-read (#522),to-read,,,,0,,,0,,,,,
967808,"Folklore Fights the Nazis: Humor in Occupied Norway, 1940-1945",Kathleen Stokker,"Stokker, Kathleen",,"=""0299154440""","=""9780299154448""",0,4.14,University of Wisconsin Press,Paperback,280,1997,,,2022/03/13,to-read,to-read (#521),to-read,,,,0,,,0,,,,,
243725,"Out of Control: The New Biology of Machines, Social Systems, and the Economic World",Kevin Kelly,"Kelly, Kevin",,"=""0201483408""","=""9780201483406""",0,4.23,Basic Books,Paperback,528,1995,1992,,2022/03/12,to-read,to-read (#520),to-read,,,,0,,,0,,,,,
9900599,The Moral Animal: Why We Are the Way We Are: The New Science of Evolutionary Psychology,Robert Wright,"Wright, Robert",,"=""0307772748""","=""9780307772749""",0,4.08,Vintage,ebook,496,2010,1994,,2022/03/12,to-read,to-read (#519),to-read,,,,0,,,0,,,,,
33968209,Закат Европы,Oswald Spengler,"Spengler, Oswald",,"=""""","=""""",0,4.07,Strelbytskyy Multimedia Publishing,Kindle Edition,,2016,1918,,2022/02/12,to-read,to-read (#518),to-read,,,,0,,,0,,,,,
18468252,Золотая ветвь,James George Frazer,"Frazer, James George",,"=""5699167978""","=""""",0,4.03,Эксмо,Hardcover,960,2006,1890,,2022/02/12,to-read,to-read (#517),to-read,,,,0,,,0,,,,,
50909,"The Surgeon of Crowthorne: A Tale of Murder, Madness & the Love of Words",Simon Winchester,"Winchester, Simon",,"=""""","=""""",0,3.83,Penguin,Paperback,207,1999,1998,,2022/02/04,to-read,to-read (#516),to-read,,,,0,,,0,,,,,
26768029,Волны гасят ветер,Arkady Strugatsky,"Strugatsky, Arkady","Boris Strugatsky, Аркадий Стругацкий, Борис Стругацкий","=""""","=""""",3,4.09,"Издательство ""Проспект""",Kindle Edition,140,2015,1984,,2022/01/28,,,read,,,,1,,,0,,,,,
17725499,Трудно быть богом,Arkady Strugatsky,"Strugatsky, Arkady","Boris Strugatsky, Аркадий Стругацкий, Борис Стругацкий","=""""","=""""",4,4.16,,,200,,1964,,2022/01/25,,,read,,,,1,,,0,,,,,
2506573,"A Study of History, Vol 11",Arnold Joseph Toynbee,"Toynbee, Arnold Joseph",,"=""0192152238""","=""9780192152237""",0,4.20,"Oxford University Press, USA",Hardcover,,1985,1985,,2022/01/03,to-read,to-read (#515),to-read,,,,0,,,0,,,,,
13117327,"A Study of History, Vol 10: The Inspirations of Historians. A Note on Chronology",Arnold Joseph Toynbee,"Toynbee, Arnold Joseph",,"=""""","=""""",0,3.62,Oxford University Press,,422,,1985,,2022/01/03,to-read,to-read (#514),to-read,,,,0,,,0,,,,,
13117302,"A Study of History, Vol 8: Heroic Ages Contacts between Civilizations in Space",Arnold Joseph Toynbee,"Toynbee, Arnold Joseph",,"=""""","=""""",0,3.50,Oxford University Press,,,1954,1954,,2022/01/03,to-read,to-read (#513),to-read,,,,0,,,0,,,,,
13117294,"A Study of History, Vol 7: Universal States Universal Churches",Arnold Joseph Toynbee,"Toynbee, Arnold Joseph",,"=""""","=""""",0,3.82,Oxford University Press,,,1954,1954,,2022/01/03,to-read,to-read (#512),to-read,,,,0,,,0,,,,,
13117284,"A Study of History, Vol 6: The Disintegrations of Civilizations 2",Arnold Joseph Toynbee,"Toynbee, Arnold Joseph",,"=""""","=""""",0,3.91,Oxford University Press,,,1939,1939,,2022/01/03,to-read,to-read (#511),to-read,,,,0,,,0,,,,,
13117309,"A Study of History, Vol 9 - Contacts between Civilizations in Time (Renaissances); Law and Freedom in History; The Prospects of the Western Civilization",Arnold Joseph Toynbee,"Toynbee, Arnold Joseph",,"=""""","=""""",0,4.00,Oxford University Press,,,1954,1954,,2022/01/03,to-read,to-read (#510),to-read,,,,0,,,0,,,,,
13117335,"A Study of History, Vol 12: Reconsiderations",Arnold Joseph Toynbee,"Toynbee, Arnold Joseph",,"=""""","=""""",0,3.86,Oxford University Press (London/NY/Toronto),Hardcover,750,1961,1961,,2022/01/03,to-read,to-read (#509),to-read,,,,0,,,0,,,,,
13117271,"A Study of History, Vol 5: The Disintegrations of Civilizations 1 (A Study of History, #5)",Arnold Joseph Toynbee,"Toynbee, Arnold Joseph",,"=""""","=""""",0,4.23,Oxford University Press,Paperback,712,1962,1939,,2022/01/03,to-read,to-read (#508),to-read,,,,0,,,0,,,,,
13071844,"A Study of History, Vol 4: The Breakdowns of Civilizations",Arnold Joseph Toynbee,"Toynbee, Arnold Joseph",فؤاد محمد شبل,"=""""","=""""",0,3.88,Oxford University Press,Paperback,656,1962,1934,,2022/01/03,to-read,to-read (#507),to-read,,,,0,,,0,,,,,
12990303,"A Study of History, Vol 3: The Growths of Civilizations",Arnold Joseph Toynbee,"Toynbee, Arnold Joseph",,"=""""","=""""",0,4.17,Oxford University Press,Paperback,551,1962,1934,,2022/01/03,to-read,to-read (#506),to-read,,,,0,,,0,,,,,
11847246,"A Study of History, Vol 2: The Genesis of Civilizations",Arnold Joseph Toynbee,"Toynbee, Arnold Joseph",,"=""""","=""""",0,4.25,Oxford University Press,Paperback,452,1934,1934,,2022/01/03,to-read,to-read (#505),to-read,,,,0,,,0,,,,,
11770190,"A Study of History, Vol 1: Introduction; The Geneses of Civilizations (A Study of History, #1)",Arnold Joseph Toynbee,"Toynbee, Arnold Joseph",,"=""""","=""""",0,4.00,Oxford University Press,Paperback,484,1934,1934,,2022/01/03,to-read,to-read (#504),to-read,,,,0,,,0,,,,,
30186948,Think and Grow Rich,Napoleon Hill,"Hill, Napoleon","Bill Hartley, Ann Hartley, Ben Holden-Crowther, Muhammad Ghous Siddiqui","=""""","=""""",5,4.18,,Paperback,233,2016,1937,,2021/05/13,,,read,,,,2,,,0,,,,,
1586489,Mohammed,Essad Bey,"Bey, Essad",Leo Metsar,"=""1850770190""","=""9781850770190""",0,4.07,Hyperion Books,Hardcover,336,1984,1932,,2021/12/28,to-read,to-read (#503),to-read,,,,0,,,0,,,,,
1939433,Quality Is Still Free: Making Quality Certain in Uncertain Times,Philip B. Crosby,"Crosby, Philip B.",,"=""0070145326""","=""9780070145320""",0,4.16,McGraw-Hill Companies,Hardcover,264,1995,1995,,2021/12/27,to-read,to-read (#502),to-read,,,,0,,,0,,,,,
16120865,"The Pilgrim's Progress from this world to that which is to come, delivered under the similitude of a dream",John Bunyan,"Bunyan, John",,"=""""","=""""",0,4.02,,Kindle Edition,136,2012,1684,,2021/12/20,to-read,to-read (#501),to-read,,,,0,,,0,,,,,
1015870,A Visual Dictionary of Architecture,Francis D.K. Ching,"Ching, Francis D.K.",,"=""0471288217""","=""9780471288213""",0,4.28,Wiley,Paperback,320,1996,1995,,2021/12/13,to-read,to-read (#500),to-read,,,,0,,,0,,,,,
620755,Architects' Data,Ernst Neufert,"Neufert, Ernst",,"=""0632057718""","=""9780632057719""",0,4.38,Wiley-Blackwell,Paperback,648,2002,1970,,2021/12/13,to-read,to-read (#499),to-read,,,,0,,,0,,,,,
26875918,"Свое лицо, или Формула счастья",Хасай Магомедович Алиев,"Алиев, Хасай Магомедович",,"=""""","=""""",3,4.00,,,,,,,2021/12/13,,,read,,,,1,,,0,,,,,
7805,Pale Fire,Vladimir Nabokov,"Nabokov, Vladimir",,"=""""","=""""",0,4.15,Penguin Books Ltd,Paperback,246,2000,1962,,2021/12/05,to-read,to-read (#498),to-read,,,,0,,,0,,,,,
29590147,Как управлять рабами,Jerry Toner,"Toner, Jerry",Джерри Тонер,"=""""","=""""",5,3.66,Олимп-Бизнес,Kindle Edition,181,2015,2014,,2021/11/24,,,read,,,,1,,,0,,,,,
15808128,Bad Data Handbook: Cleaning Up The Data So You Can Get Back To Work,Q. Ethan McCallum,"McCallum, Q. Ethan",,"=""1449321887""","=""9781449321888""",0,3.53,O'Reilly Media,Paperback,264,2012,2012,,2020/02/02,,,read,,,,1,,,0,,,,,
103592,"Thinking Strategically: The Competitive Edge in Business, Politics, and Everyday Life",Avinash K. Dixit,"Dixit, Avinash K.",Barry J. Nalebuff,"=""0393310353""","=""9780393310351""",0,3.87,W. W. Norton  Company,Paperback,416,1993,1991,,2021/10/15,to-read,to-read (#497),to-read,,,,0,,,0,,,,,
55893794,Breathe: A Life in Flow,Rickson Gracie,"Gracie, Rickson",Peter Maguire,"=""0063018950""","=""9780063018952""",0,4.42,Dey Street Books,Hardcover,288,2021,2021,,2021/10/07,to-read,to-read (#496),to-read,,,,0,,,0,,,,,
6568321,"Universal Principles of Design, Revised and Updated: 125 Ways to Enhance Usability, Influence Perception, Increase Appeal, Make Better Design Decisions, and Teach through Design",William Lidwell,"Lidwell, William","Jill Butler, Kritina Holden","=""1592535879""","=""9781592535873""",5,4.16,Rockport Publishers,Paperback,272,2010,2003,,2021/09/29,,,read,"Excellent and systematized collection of concepts worth thinking about, at least occasionally. <br/><br/>Has good examples and valuable references.<br/><br/>Links between concepts (the bottom ""See also"" section) are not always clear, though.",,,1,,,0,,,,,
1958355,101 Things I Learned in Architecture School,Matthew Frederick,"Frederick, Matthew",,"=""0262062666""","=""9780262062664""",0,4.07,MIT Press,Hardcover,212,2007,2006,,2021/09/29,to-read,to-read (#495),to-read,,,,0,,,0,,,,,
647351,The Image of the City,Kevin  Lynch,"Lynch, Kevin",,"=""0262620014""","=""9780262620017""",0,4.07,MIT Press,Paperback,202,1964,1960,,2021/09/29,to-read,to-read (#494),to-read,,,,0,,,0,,,,,
42190,"Wabi-Sabi: For Artists, Designers, Poets & Philosophers",Leonard Koren,"Koren, Leonard",,"=""1880656124""","=""9781880656129""",0,4.01,Stone Bridge Press,Paperback,95,1994,1994,,2021/09/29,to-read,to-read (#493),to-read,,,,0,,,0,,,,,
25089,Why Buildings Stand Up: The Strength of Architecture,Mario Salvadori,"Salvadori, Mario","Saralinda Hooker, Christopher Ragus","=""0393306763""","=""9780393306767""",0,3.95,W. W. Norton  Company,Paperback,320,2002,1980,,2021/09/24,to-read,to-read (#492),to-read,,,,0,,,0,,,,,
33474,Graphic Storytelling and Visual Narrative,Will Eisner,"Eisner, Will",,"=""0961472820""","=""9780961472825""",0,4.08,Poorhouse Press,Paperback,164,1996,1996,,2021/09/24,to-read,to-read (#491),to-read,,,,0,,,0,,,,,
69242,Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,"Heath, Chip",Dan Heath,"=""1400064287""","=""9781400064281""",0,3.97,Random House,Hardcover,291,2007,2006,,2021/09/24,to-read,to-read (#490),to-read,,,,0,,,0,,,,,
28815,Influence: The Psychology of Persuasion,Robert B. Cialdini,"Cialdini, Robert B.",,"=""006124189X""","=""9780061241895""",0,4.20,Harper Business,Paperback,320,2006,1984,,2021/09/22,to-read,to-read (#489),to-read,,,,0,,,0,,,,,
1303,The 48 Laws of Power,Robert Greene,"Greene, Robert",Joost Elffers,"=""0140280197""","=""9780140280197""",0,4.14,Penguin Books,Paperback,452,2000,1998,,2021/09/22,to-read,to-read (#488),to-read,,,,0,,,0,,,,,
779742,Crucial Decisions: Leadership in Policymaking and Crisis Management,Irving L. Janis,"Janis, Irving L.",,"=""0029161614""","=""9780029161616""",0,3.78,Free Press,Hardcover,388,1989,1989,,2021/09/21,to-read,to-read (#487),to-read,,,,0,,,0,,,,,
676046,The Sciences of the Artificial,Herbert A. Simon,"Simon, Herbert A.",,"=""0262691914""","=""9780262691918""",0,4.28,MIT Press,Paperback,248,1996,1969,,2021/09/21,to-read,to-read (#486),to-read,,,,0,,,0,,,,,
7302177,Models of man: social and rational,Herbert A. Simon,"Simon, Herbert A.",,"=""""","=""""",0,4.80,Wiley,Hardcover,287,1957,1957,,2021/09/21,to-read,to-read (#485),to-read,,,,0,,,0,,,,,
1599353,Design and Composition,Nathan Goldstein,"Goldstein, Nathan",,"=""0131999109""","=""9780131999107""",0,4.36,Pearson,Paperback,,1989,1989,,2021/09/19,to-read,to-read (#484),to-read,,,,0,,,0,,,,,
